person_id,age,years_working,education,annual_income,parental_wealth_bracket,inheritance_received,homeowner,region_cost_of_living,dependents,health_shock,savings_rate,invests_in_markets,portfolio_equity_pct,diversification_score,financial_literacy,budgeting_consistency,impulse_spending,plans_ahead,carries_high_interest_debt,retirement_account,started_investing_age,years_investing,net_worth,financially_independent
PSN000114,47,17,graduate,126000.0,lower_mid,0.0,1,low,2,0,0.047,1,79,3.0,8.3,8.8,0.7,10.0,0,1,33,14,199500.0,0
PSN000115,50,28,high_school,63000.0,bottom,0.0,1,medium,0,0,0.164,0,0,2.0,6.0,4.4,2.9,10.0,1,0,18,32,177300.0,0
PSN000116,65,41,bachelors,101200.0,bottom,0.0,1,medium,4,0,0.493,0,0,7.7,5.5,7.8,2.7,10.0,0,1,31,34,3232200.0,1
PSN000117,38,16,bachelors,106200.0,bottom,0.0,0,low,1,1,0.386,0,2,4.9,6.3,6.8,0.3,7.0,0,1,25,13,170400.0,0
PSN000118,48,21,bachelors,76900.0,middle,0.0,1,high,0,0,0.243,1,65,4.3,9.6,4.1,2.5,8.0,1,1,18,30,407200.0,0
PSN000119,59,33,some_college,125000.0,lower_mid,0.0,1,medium,0,0,0.148,0,14,6.8,7.5,5.9,5.9,8.9,0,1,18,41,740200.0,0
PSN000120,36,10,high_school,26100.0,bottom,0.0,0,high,1,0,0.188,0,14,5.3,7.2,5.5,0.8,8.7,0,0,21,15,28100.0,0
PSN000121,44,23,high_school,61400.0,bottom,0.0,0,medium,0,0,0.221,1,33,6.5,2.4,5.5,6.6,6.3,1,0,37,7,200700.0,0
PSN000122,58,29,bachelors,60600.0,middle,0.0,1,low,1,0,0.198,1,55,8.1,5.2,2.4,1.3,8.4,0,0,20,38,1381600.0,1
PSN000123,71,51,bachelors,172200.0,lower_mid,0.0,1,medium,0,0,0.173,0,14,5.5,8.6,1.7,3.9,9.1,0,1,25,46,5593000.0,1
PSN000124,63,45,high_school,99000.0,bottom,0.0,1,high,2,0,0.541,0,4,5.7,5.3,4.8,4.1,10.0,0,1,34,29,3917200.0,1
PSN000125,33,10,graduate,156200.0,middle,140900.0,0,high,1,0,0.331,1,49,6.0,4.1,3.3,3.2,9.5,0,0,18,15,677100.0,0
PSN000126,42,17,bachelors,67900.0,lower_mid,0.0,1,medium,0,0,0.2,1,6,4.5,0.0,3.6,5.1,1.6,1,0,46,0,218700.0,0
PSN000127,31,9,bachelors,63200.0,lower_mid,0.0,1,high,1,0,0.058,0,25,2.9,7.4,7.7,1.5,7.8,0,1,19,12,61200.0,0
PSN000128,39,21,some_college,77700.0,upper_mid,0.0,0,low,0,0,0.218,1,50,8.7,3.9,8.7,1.4,5.4,0,1,32,7,285500.0,0
PSN000129,63,40,bachelors,169200.0,lower_mid,24900.0,1,high,0,0,0.412,0,8,8.0,5.8,5.2,1.8,7.8,0,1,26,37,1288500.0,0
PSN000130,44,22,some_college,75400.0,bottom,0.0,0,medium,0,0,0.35,1,58,3.2,5.2,3.9,0.0,2.2,0,1,27,17,1207600.0,0
PSN000131,39,16,graduate,113800.0,top,0.0,1,low,2,0,0.227,1,100,6.9,7.1,5.8,7.9,10.0,0,1,33,6,352400.0,0
PSN000132,58,35,graduate,124900.0,bottom,4400.0,1,low,1,0,0.29,1,24,6.3,6.6,9.4,2.8,7.5,0,1,33,25,2786600.0,1
PSN000133,40,20,bachelors,40200.0,lower_mid,0.0,1,low,3,0,0.185,0,20,6.6,3.0,5.2,5.5,8.1,0,0,30,10,263400.0,0
PSN000134,28,5,bachelors,187700.0,bottom,0.0,0,medium,0,0,0.311,1,67,4.2,7.0,7.4,0.5,6.7,0,1,31,0,160400.0,0
PSN000135,58,33,high_school,87800.0,upper_mid,0.0,1,medium,1,0,0.197,0,17,6.8,8.1,6.9,5.4,8.5,0,1,42,16,456100.0,0
PSN000136,46,27,some_college,41100.0,upper_mid,0.0,1,high,3,0,0.272,0,7,3.1,4.5,3.7,3.8,5.9,1,1,18,28,194800.0,0
PSN000137,35,19,high_school,32500.0,middle,0.0,1,medium,2,0,0.194,1,36,4.1,4.8,7.1,1.5,6.6,1,1,53,0,118200.0,0
PSN000138,41,18,high_school,168500.0,top,54800.0,1,high,3,0,0.238,1,81,3.8,7.3,4.4,2.3,10.0,0,1,32,9,659400.0,0
PSN000139,42,16,high_school,98900.0,upper_mid,0.0,0,medium,3,0,0.043,0,8,4.5,8.6,7.4,5.4,6.5,0,1,18,24,17600.0,0
PSN000140,62,42,some_college,99100.0,lower_mid,160400.0,0,low,2,0,0.183,0,0,3.9,8.1,7.1,5.5,6.8,1,0,31,31,725800.0,0
PSN000141,70,47,graduate,169600.0,middle,431900.0,1,medium,0,1,0.19,1,56,6.3,8.9,4.8,0.1,5.2,0,1,22,48,8140100.0,1
PSN000142,27,3,graduate,122500.0,lower_mid,0.0,0,medium,1,1,0.228,1,0,6.6,5.2,9.8,3.6,3.9,1,0,29,0,-4900.0,0
PSN000143,55,30,graduate,213600.0,upper_mid,0.0,1,high,2,0,0.109,1,24,6.2,5.0,5.8,8.8,4.3,0,1,18,37,1358400.0,0
PSN000144,56,32,high_school,47300.0,middle,0.0,0,medium,0,0,0.403,0,15,7.3,4.7,4.6,0.0,10.0,0,1,25,31,159100.0,0
PSN000145,54,29,graduate,81700.0,lower_mid,0.0,1,low,0,1,0.093,1,89,5.1,5.5,7.4,0.9,5.7,0,1,41,13,294700.0,0
PSN000146,46,22,graduate,44600.0,middle,48500.0,1,low,2,1,0.343,0,4,5.6,8.4,3.0,5.3,8.6,1,1,18,28,259400.0,0
PSN000147,40,15,bachelors,324500.0,top,974900.0,1,medium,1,0,0.458,1,70,7.3,7.9,3.0,7.8,7.8,0,1,30,10,4134600.0,0
PSN000148,56,35,bachelors,127200.0,middle,542600.0,1,medium,0,1,0.538,0,6,4.4,6.5,1.7,2.9,9.5,0,0,18,38,4126200.0,1
PSN000149,54,36,high_school,64800.0,middle,227900.0,1,high,1,0,0.367,0,0,6.2,5.7,10.0,1.0,1.8,0,0,26,28,793600.0,0
PSN000150,56,39,bachelors,88600.0,middle,233700.0,1,medium,0,1,0.178,1,49,7.8,8.4,5.1,3.6,8.0,1,1,34,22,1862300.0,1
PSN000151,54,29,graduate,90000.0,middle,0.0,1,low,0,1,0.112,1,75,3.0,7.0,5.8,2.0,2.7,0,1,25,29,873100.0,0
PSN000152,61,40,bachelors,106700.0,lower_mid,0.0,1,medium,3,1,0.407,1,63,6.8,6.5,6.8,4.7,10.0,0,1,28,33,3925600.0,1
PSN000153,27,4,bachelors,67900.0,middle,1482200.0,1,low,0,1,0.272,0,0,2.8,7.4,4.0,0.6,6.8,0,1,36,0,1023500.0,0
PSN000154,45,20,some_college,232400.0,top,0.0,1,low,1,0,0.26,1,73,7.6,6.7,8.0,2.9,10.0,1,0,28,17,2147800.0,0
PSN000155,44,18,bachelors,280900.0,middle,0.0,1,high,1,0,0.372,1,47,3.5,4.9,6.8,2.9,7.3,0,1,20,24,478300.0,0
PSN000156,47,24,bachelors,151100.0,middle,0.0,0,low,1,0,0.6,0,0,5.4,7.3,4.5,1.9,5.4,0,1,27,20,595300.0,0
PSN000157,34,15,some_college,52800.0,upper_mid,96700.0,0,low,0,0,0.252,1,58,4.5,5.1,2.9,6.0,4.6,0,0,31,3,357500.0,0
PSN000158,47,28,bachelors,52800.0,upper_mid,13000.0,1,low,0,1,0.08,1,19,4.1,4.4,3.9,7.2,9.6,1,0,27,20,367300.0,0
PSN000159,50,22,bachelors,365500.0,top,124200.0,0,medium,1,0,0.159,1,66,5.7,7.1,9.4,1.5,9.1,0,0,18,32,2275100.0,0
PSN000160,30,4,high_school,18700.0,upper_mid,164000.0,1,high,3,0,0.129,1,55,9.5,8.1,6.3,4.7,10.0,0,1,29,1,219600.0,0
PSN000161,32,9,bachelors,47200.0,middle,93900.0,0,medium,1,0,0.187,1,52,7.9,5.3,4.4,6.0,4.0,0,1,31,1,169500.0,0
PSN000162,48,22,bachelors,27700.0,lower_mid,0.0,1,medium,1,0,0.17,1,75,8.0,3.2,4.5,8.9,5.4,0,0,45,3,161500.0,0
PSN000163,40,17,high_school,96800.0,bottom,0.0,1,low,0,0,0.316,0,14,10.0,3.2,8.3,0.9,6.2,0,1,23,17,414500.0,0
PSN000164,66,44,high_school,116600.0,bottom,0.0,0,medium,2,1,0.018,0,5,3.4,3.3,3.3,3.0,7.0,0,0,32,34,-47800.0,0
PSN000165,28,9,bachelors,46400.0,lower_mid,0.0,1,low,1,1,0.413,1,52,5.2,6.4,6.2,10.0,4.6,0,1,24,4,142100.0,0
PSN000166,61,34,bachelors,159000.0,bottom,0.0,0,medium,0,0,0.29,1,93,4.3,6.2,4.5,6.6,5.4,0,1,36,25,8274600.0,1
PSN000167,65,47,some_college,299400.0,upper_mid,0.0,0,medium,5,0,0.155,1,48,6.5,5.1,2.8,3.4,7.7,0,0,33,32,2224500.0,0
PSN000168,25,5,bachelors,60300.0,lower_mid,0.0,1,low,0,0,0.08,1,62,7.0,10.0,2.0,4.9,8.7,1,1,21,4,151600.0,0
PSN000169,62,38,bachelors,136600.0,middle,0.0,1,medium,0,0,0.085,1,50,4.8,5.2,5.9,0.7,4.3,1,1,19,43,735200.0,0
PSN000170,52,32,bachelors,85600.0,upper_mid,188700.0,1,high,0,0,0.282,0,6,2.3,2.9,5.8,5.3,6.4,0,1,33,19,853900.0,0
