coin,hour_ts,ts,mid,mark,oracle,premium,funding,oi,day_vlm,bid,ask,bid_depth,ask_depth,net_szi,net_signed_notional,gross_notional,mean_leverage,n_long,n_short,binance_funding,binance_perp,binance_spot,bybit_funding,bybit_perp,n_posts,mean_sentiment,pos_frac,neg_frac,usdt_mcap,usdc_mcap,trend_bitcoin,trend_bitcoin_price,trend_buy_bitcoin,trend_coinbase,trend_crypto_crash,trend_cryptocurrency,trend_dollar,trend_ethereum,trend_how_to_buy_crypto,trend_oil,trend_recession,trend_sell_bitcoin,trend_weather,value,classification,gold_paxg,funding_div_binance,funding_div_bybit,basis_binance,collector_up,hour_of_day,day_of_week,is_weekend,session,ret,resid_ret,ret_xrank
BTC,1785621600,,,,,,,,,,,,,,,,,,,3.545e-05,62800.1,62831.28,4.871e-05,62800.0,0.0,,,,183652403590.57578,71919740829.19958,96.0,94.0,49.0,54.0,64.0,52.0,59.0,91.0,48.0,93.0,85.0,45.0,44.0,27,Fear,4049.37,,,,False,22,5,1,us,,,
BTC,1785625200,,,,,,,,,,,,,,,,,,,3.545e-05,62792.3,62823.64,4.871e-05,62790.3,0.0,,,,183652403590.57578,71919740829.19958,96.0,95.0,52.0,51.0,47.0,49.0,61.0,88.0,48.0,94.0,90.0,45.0,45.0,27,Fear,4048.4,,,,False,23,5,1,us,,,
BTC,1785628800,,,,,,,,,,,,,,,,,,,4.53e-05,62807.5,62833.99,1.631e-05,62812.2,0.0,,,,183318565748.8414,71956259992.25401,100.0,94.0,56.0,51.0,86.0,65.0,66.0,100.0,46.0,91.0,94.0,28.0,72.0,27,Fear,4050.06,,,,False,0,6,1,asia,,,
BTC,1785632400,1785633780.0,62951.5,62959.0,62985.0,-0.0005239343,1.25e-05,34862.40928,710394453.5276113,62951.0,62952.0,1505718.7773,380442.36826,-1566.6059500000001,-99051137.242302,145704154.945682,24.0625,6.0,10.0,4.53e-05,62960.8,62981.87,1.631e-05,62958.2,0.0,,,,183318565748.8414,71956259992.25401,96.0,99.0,56.0,54.0,50.0,53.0,70.0,92.0,65.0,84.0,96.0,39.0,93.0,27,Fear,4053.31,-3.2800000000000004e-05,-3.810000000000001e-06,-30.37000000000262,True,1,6,1,asia,,,
BTC,1785636000,,,,,,,,,,,,,,,,,,,4.53e-05,63425.4,63451.58,1.631e-05,63422.9,0.0,,,,183318565748.8414,71956259992.25401,100.0,100.0,100.0,48.0,59.0,53.0,56.0,80.0,100.0,84.0,89.0,33.0,87.0,27,Fear,4056.98,,,,False,2,6,1,asia,,,
BTC,1785639600,,,,,,,,,,,,,,,,,,,4.53e-05,63436.7,63461.95,1.631e-05,63439.9,0.0,,,,183318565748.8414,71956259992.25401,86.0,91.0,85.0,46.0,43.0,58.0,48.0,74.0,53.0,80.0,93.0,23.0,82.0,27,Fear,4059.66,,,,False,3,6,1,asia,,,
BTC,1785643200,,,,,,,,,,,,,,,,,,,4.53e-05,63557.1,63590.0,1.631e-05,63558.4,0.0,,,,183318565748.8414,71956259992.25401,89.0,86.0,79.0,38.0,40.0,58.0,42.0,73.0,41.0,76.0,88.0,23.0,66.0,27,Fear,4061.0,,,,False,4,6,1,asia,,,
BTC,1785646800,1785649620.0,63412.5,63409.5,63430.4,-0.0002743164,1.25e-05,33658.2504,985501777.0914792,63412.0,63413.0,870246.68984,663028.09525,-1769.84469,-112204613.65662,144699905.21622,24.0625,5.0,11.0,4.53e-05,63428.5,63453.27,1.631e-05,63431.5,29.0,0.13375172413793104,0.3793103448275862,0.27586206896551724,183318565748.8414,71956259992.25401,86.0,83.0,78.0,36.0,54.0,53.0,39.0,73.0,54.0,76.0,77.0,24.0,51.0,27,Fear,4061.01,-3.2800000000000004e-05,-3.810000000000001e-06,-40.7699999999968,True,5,6,1,asia,,,
BTC,1785650400,,,,,,,,,,,,,,,,,,,4.53e-05,63460.0,63482.49,1.631e-05,63457.8,0.0,,,,183318565748.8414,71956259992.25401,89.0,78.0,62.0,36.0,0.0,48.0,36.0,75.0,51.0,74.0,70.0,26.0,50.0,27,Fear,4060.55,,,,False,6,6,1,asia,,,
BTC,1785654000,,,,,,,,,,,,,,,,,,,4.53e-05,63468.1,63506.24,1.631e-05,63469.1,0.0,,,,183318565748.8414,71956259992.25401,82.0,73.0,61.0,34.0,0.0,46.0,35.0,80.0,43.0,66.0,65.0,28.0,55.0,27,Fear,4059.7,,,,False,7,6,1,asia,,,
BTC,1785657600,1785661140.0,63149.5,63153.0,63180.0,-0.0002975625,1.25e-05,33548.1225,1038245132.47591,63161.0,63162.0,1507289.3869200002,825524.6310699999,-1849.2943300000002,-116867922.017554,143966624.539806,24.0625,5.0,11.0,8.943e-05,63171.1,63193.99,0.0001,63166.1,13.0,-0.021923076923076917,0.23076923076923078,0.38461538461538464,183318565748.8414,71956259992.25401,81.0,59.0,64.0,33.0,25.0,48.0,29.0,72.0,42.0,61.0,70.0,25.0,50.0,27,Fear,4059.65,-7.693e-05,-8.75e-05,-44.48999999999796,True,8,6,1,europe,,,
BTC,1785661200,1785664740.0,63253.5,63253.0,63274.0,-0.0003160856,1.25e-05,33590.30358,1058821505.2081804,63253.0,63254.0,732245.5470700001,946260.9411500001,-1870.23756,-118298136.38268,143412936.11698002,24.0625,5.0,11.0,8.943e-05,63249.8,63273.94,0.0001,63242.6,12.0,0.35065833333333335,0.6666666666666666,0.25,183318565748.8414,71956259992.25401,77.0,59.0,53.0,32.0,40.0,43.0,30.0,65.0,53.0,60.0,65.0,19.0,50.0,27,Fear,4059.84,-7.693e-05,-8.75e-05,-20.44000000000233,True,9,6,1,europe,0.001646885565206313,,0.5
BTC,1785664800,1785668340.0,63172.5,63173.0,63198.0,-0.0003955821,1.25e-05,33681.39482,1068742223.3989899,63172.0,63173.0,1112808.4976400002,756166.0128200001,-1881.0891000000001,-118832161.19166,142293540.78246,24.0625,5.0,11.0,8.943e-05,63176.7,63205.03,0.0001,63170.9,9.0,0.36412222222222224,0.5555555555555556,0.1111111111111111,183318565748.8414,71956259992.25401,75.0,64.0,50.0,32.0,37.0,40.0,32.0,63.0,39.0,57.0,63.0,19.0,53.0,27,Fear,4059.74,-7.693e-05,-8.75e-05,-32.529999999998836,True,10,6,1,europe,-0.001280561549953707,,0.75
BTC,1785668400,1785671880.0,62987.5,62982.2,63007.0,-0.0003015538,1.25e-05,33595.0095599999,1094337518.1959484,62990.0,62991.0,1765885.31893,840857.5519299998,-1877.26667,-118331200.00764999,141256635.24673,24.0625,5.0,11.0,8.943e-05,63007.3,63031.99,0.0001,62999.8,18.0,0.12161666666666665,0.4444444444444444,0.3333333333333333,183318565748.8414,71956259992.25401,78.0,68.0,55.0,33.0,0.0,37.0,38.0,51.0,45.0,65.0,54.0,20.0,58.0,27,Fear,4059.64,-7.693e-05,-8.75e-05,-44.48999999999796,True,11,6,1,europe,-0.002928489453480565,,1.0
BTC,1785672000,1785675480.0,63097.5,63098.0,63120.9,-0.0003627958,1.25e-05,33657.9477,1124978157.7223177,63097.0,63098.0,772788.0017499998,767661.3798100001,-1910.2267900000002,-120588658.47839999,140580904.51714,24.0625,5.0,11.0,8.943e-05,63097.2,63125.49,0.0001,63097.9,8.0,-0.04581249999999999,0.375,0.375,183318565748.8414,71956259992.25401,73.0,74.0,47.0,30.0,25.0,41.0,43.0,55.0,37.0,63.0,52.0,23.0,62.0,27,Fear,4060.16,-7.693e-05,-8.75e-05,-27.989999999997963,True,12,6,1,europe,0.0017463782496527358,,0.5
BTC,1785675600,1785679140.0,63098.5,63098.0,63118.6,-0.0003105265,1.25e-05,33645.31274,1142361321.594129,63098.0,63099.0,2248511.55102,83586.6106,-1913.46337,-120730970.03414,139067237.83216,24.0625,5.0,11.0,8.943e-05,63095.0,63126.92,0.0001,63089.5,10.0,-0.11659,0.2,0.5,183318565748.8414,71956259992.25401,75.0,66.0,46.0,31.0,29.0,34.0,44.0,46.0,44.0,69.0,50.0,17.0,57.0,27,Fear,4060.09,-7.693e-05,-8.75e-05,-28.419999999998254,True,13,6,1,us,1.5848488450487253e-05,,0.5
BTC,1785679200,1785682740.0,63047.5,63048.0,63071.0,-0.0003646684,1.25e-05,33685.32386,1152108690.385819,63047.0,63048.0,459882.62501,1752650.42653,-1913.9135700000002,-120666678.17129001,137820369.74977,24.0625,5.0,11.0,8.943e-05,63042.7,63069.37,0.0001,63036.6,9.0,0.1572,0.4444444444444444,0.3333333333333333,183318565748.8414,71956259992.25401,72.0,65.0,48.0,30.0,30.0,34.0,45.0,39.0,39.0,73.0,55.0,21.0,65.0,27,Fear,4060.25,-7.693e-05,-8.75e-05,-21.87000000000262,True,14,6,1,us,-0.0008082601012702195,,0.5
BTC,1785682800,1785686280.0,63102.5,63096.0,63109.1,-9.6658e-05,1.25e-05,33725.8100599999,1164016462.5361598,63102.0,63103.0,4856661.68299,5242644.29327,-1935.30689,-122115929.45210999,136426618.59471,24.0625,5.0,11.0,8.943e-05,63081.6,63109.14,0.0001,63074.8,9.0,0.060466666666666655,0.3333333333333333,0.3333333333333333,183318565748.8414,71956259992.25401,70.0,62.0,47.0,36.0,24.0,35.0,45.0,44.0,38.0,74.0,49.0,25.0,85.0,27,Fear,4060.6,-7.693e-05,-8.75e-05,-6.639999999999418,True,15,6,1,us,0.000872358142670171,,0.75
BTC,1785686400,1785689880.0,63178.5,63178.0,63194.0,-0.0002373643,1.25e-05,34139.52138,1168558992.2823007,63178.0,63179.0,649695.86816,1223977.60082,-1961.51878,-123938564.1143,138016781.1081,24.0625,4.0,12.0,7.707e-05,63158.6,63180.36,8e-08,63152.7,28.0,-0.021292857142857134,0.2857142857142857,0.32142857142857145,183318565748.8414,71956259992.25401,70.0,64.0,44.0,33.0,40.0,34.0,45.0,46.0,49.0,75.0,57.0,25.0,78.0,27,Fear,4063.09,-6.457e-05,1.2420000000000001e-05,-1.860000000000582,True,16,6,1,us,0.00120438968345149,,0.25
BTC,1785690000,1785693540.0,63296.5,63296.0,63314.0,-0.000268503,1.25e-05,34121.66952,1114114564.7403977,63296.0,63297.0,1452480.1687599998,604128.71272,-1984.2771,-125585305.47690001,139685935.21494,24.0625,4.0,12.0,7.707e-05,63279.7,63300.28,8e-08,63280.0,12.0,-0.013183333333333333,0.3333333333333333,0.4166666666666667,183318565748.8414,71956259992.25401,74.0,68.0,50.0,35.0,38.0,37.0,48.0,52.0,52.0,80.0,62.0,23.0,58.0,27,Fear,4067.47,-6.457e-05,1.2420000000000001e-05,-3.779999999998836,True,17,6,1,us,0.0018677239883821972,,0.5
BTC,1785693600,1785697140.0,63361.5,63361.0,63382.1,-0.0003171242,1.25e-05,33791.7933,1006624772.5990676,63361.0,63362.0,735814.90138,1314859.4997599998,-1963.8036200000001,-124437814.15377,138565777.28369,24.0625,4.0,12.0,7.707e-05,63364.2,63382.01,8e-08,63356.5,27.0,0.2503777777777778,0.5925925925925926,0.2222222222222222,183318565748.8414,71956259992.25401,80.0,71.0,62.0,36.0,54.0,42.0,46.0,53.0,51.0,81.0,66.0,24.0,51.0,27,Fear,4066.6,-6.457e-05,1.2420000000000001e-05,-20.510000000002037,True,18,6,1,us,0.0010269130204672017,,0.25
BTC,1785697200,1785700680.0,63428.5,63428.0,63450.0,-0.0003309693,1.25e-05,33693.86458,987993566.9719294,63428.0,63429.0,1765170.04514,269356.45846,-1959.96047,-124316530.21518,138446527.85390002,24.0625,4.0,12.0,7.707e-05,63432.9,63456.01,8e-08,63424.9,20.0,0.218345,0.45,0.2,183318565748.8414,71956259992.25401,91.0,70.0,72.0,38.0,27.0,43.0,48.0,65.0,52.0,84.0,66.0,21.0,49.0,27,Fear,4066.03,-6.457e-05,1.2420000000000001e-05,-27.510000000002037,True,19,6,1,us,0.001057424461226475,,0.25
BTC,1785700800,1785704340.0,63483.5,63486.0,63500.0,-0.0002519685,1.25e-05,33768.7678,968073657.1446202,63483.0,63484.0,624610.87413,1805119.4851000002,-1964.83093,-124735488.93951,138873878.71021,24.0625,4.0,12.0,7.707e-05,63477.2,63494.52,8e-08,63466.1,26.0,0.18197692307692306,0.5,0.2692307692307692,183318565748.8414,71956259992.25401,87.0,77.0,71.0,43.0,34.0,43.0,51.0,67.0,60.0,83.0,75.0,26.0,45.0,27,Fear,4067.8,-6.457e-05,1.2420000000000001e-05,-11.019999999996799,True,20,6,1,us,0.0008671180936015155,,0.75
BTC,1785704400,1785706560.0,63565.5,63566.0,63572.3,-9.90998e-05,1.25e-05,34105.45902,929897962.6582898,63565.0,63566.0,1509311.7296599997,257417.02839999998,-1990.8670000000002,-126513723.6937,140659523.22259998,24.0625,4.0,12.0,7.707e-05,63560.0,63578.0,8e-08,63549.5,44.0,0.126725,0.38636363636363635,0.29545454545454547,183318565748.8414,71956259992.25401,86.0,84.0,78.0,47.0,29.0,50.0,53.0,69.0,44.0,91.0,83.0,28.0,44.0,27,Fear,4073.16,-6.457e-05,1.2420000000000001e-05,-12.5,True,21,6,1,us,0.0012916742145596682,,0.25
BTC,1785708000,,,,,,,,,,,,,,,,,,,7.707e-05,63398.0,63424.58,8e-08,63385.8,0.0,,,,183318565748.8414,71956259992.25401,94.0,83.0,80.0,47.0,47.0,51.0,67.0,86.0,48.0,96.0,92.0,26.0,44.0,27,Fear,4063.57,,,,False,22,6,1,us,,,
BTC,1785711600,,,,,,,,,,,,,,,,,,,7.707e-05,63550.0,63570.0,8e-08,63545.9,0.0,,,,183318565748.8414,71956259992.25401,94.0,82.0,90.0,49.0,41.0,51.0,69.0,92.0,62.0,95.0,93.0,31.0,45.0,27,Fear,4072.23,,,,False,23,6,1,us,,,
BTC,1785715200,,,,,,,,,,,,,,,,,,,0.0001,63298.9,63317.6,4.142e-05,63287.1,0.0,,,,183294244405.26926,71925700747.55423,98.0,83.0,95.0,46.0,80.0,56.0,71.0,90.0,58.0,94.0,93.0,26.0,71.0,28,Fear,4054.83,,,,False,0,0,0,asia,,,
BTC,1785718800,1785720300.0,63218.5,63218.0,63239.1,-0.0003178413,1.25e-05,35501.24794,1131820343.9077296,63218.0,63219.0,2009957.4459099998,207322.97926,-2050.24103,-129619494.06965399,143717169.67007798,24.0625,4.0,12.0,0.0001,63185.9,63212.16,4.142e-05,63182.7,18.0,0.2399777777777778,0.3888888888888889,0.05555555555555555,183294244405.26926,71925700747.55423,83.0,82.0,61.0,45.0,60.0,32.0,74.0,77.0,55.0,86.0,60.0,24.0,100.0,28,Fear,4054.43,-8.75e-05,-2.892e-05,6.3399999999965075,True,1,0,0,asia,,,
BTC,1785722400,,,,,,,,,,,,,-2058.57827,-130058090.671647,144133946.617287,24.0625,4.0,12.0,0.0001,63118.3,63141.4,4.142e-05,63110.5,21.0,0.1900047619047619,0.5714285714285714,0.2857142857142857,183294244405.26926,71925700747.55423,81.0,80.0,55.0,48.0,46.0,33.0,63.0,67.0,55.0,83.0,59.0,23.0,93.0,28,Fear,4059.55,,,,False,2,0,0,asia,,,
BTC,1785726000,,,,,,,,,,,,,,,,,,,0.0001,62839.7,62870.49,4.142e-05,62830.0,0.0,,,,183294244405.26926,71925700747.55423,86.0,79.0,86.0,58.0,40.0,82.0,55.0,94.0,61.0,81.0,97.0,29.0,75.0,28,Fear,4061.61,,,,False,3,0,0,asia,,,
BTC,1785729600,,,,,,,,,,,,,,,,,,,0.0001,62765.3,62790.0,4.142e-05,62754.7,0.0,,,,183294244405.26926,71925700747.55423,92.0,81.0,100.0,59.0,10.0,92.0,49.0,78.0,63.0,78.0,100.0,29.0,65.0,28,Fear,4061.14,,,,False,4,0,0,asia,,,
BTC,1785733200,1785736260.0,62818.5,62818.0,62832.0,-0.0002069009,1.25e-05,35681.10032,971375811.7246095,62818.0,62819.0,695671.8045,1068425.21417,-2067.64985,-129927847.25988,143915069.95744002,24.0625,4.0,12.0,0.0001,62799.9,62827.17,4.142e-05,62795.9,0.0,,,,183294244405.26926,71925700747.55423,91.0,77.0,81.0,54.0,6.0,75.0,48.0,70.0,49.0,70.0,92.0,31.0,54.0,28,Fear,4065.01,-8.75e-05,-2.892e-05,-8.669999999998254,True,5,0,0,asia,,,
BTC,1785736800,,,,,,,,,,,,,,,,,,,0.0001,62594.9,62623.6,4.142e-05,62598.1,0.0,,,,183294244405.26926,71925700747.55423,89.0,64.0,83.0,38.0,10.0,52.0,42.0,62.0,40.0,66.0,80.0,24.0,48.0,28,Fear,4061.51,,,,False,6,0,0,asia,,,
BTC,1785740400,1785740760.0,62613.5,62613.0,62636.4,-0.0003448474,1.25e-05,35412.39708,995049600.0153894,62626.0,62627.0,633278.02754,1374157.3473999999,-2061.31154,-129040941.996602,142985260.221198,24.0625,4.0,12.0,0.0001,62591.0,62621.1,4.142e-05,62591.5,0.0,,,,183294244405.26926,71925700747.55423,83.0,60.0,80.0,39.0,11.0,57.0,42.0,66.0,44.0,63.0,74.0,23.0,48.0,28,Fear,4058.76,-8.75e-05,-2.892e-05,-7.599999999998545,True,7,0,0,asia,,,
BTC,1785744000,,,,,,,,,,,,,,,,,,,6.364e-05,62512.4,62541.5,9.21e-06,62509.1,0.0,,,,183294244405.26926,71925700747.55423,81.0,59.0,71.0,43.0,0.0,65.0,41.0,67.0,30.0,59.0,72.0,14.0,50.0,28,Fear,4056.67,,,,False,8,0,0,europe,,,
BTC,1785747600,,,,,,,,,,,,,,,,,,,6.364e-05,62806.0,62837.4,9.21e-06,62798.5,0.0,,,,183294244405.26926,71925700747.55423,80.0,62.0,68.0,37.0,7.0,46.0,41.0,58.0,41.0,58.0,70.0,24.0,49.0,28,Fear,4053.55,,,,False,9,0,0,europe,,,
BTC,1785751200,,,,,,,,,,,,,,,,,,,6.364e-05,62708.8,62742.01,9.21e-06,62711.8,0.0,,,,183294244405.26926,71925700747.55423,80.0,69.0,100.0,36.0,15.0,47.0,42.0,69.0,33.0,62.0,95.0,17.0,50.0,28,Fear,4048.04,,,,False,10,0,0,europe,,,
BTC,1785754800,,,,,,,,,,,,,,,,,,,6.364e-05,62534.1,62560.01,9.21e-06,62533.9,0.0,,,,183294244405.26926,71925700747.55423,86.0,70.0,100.0,33.0,64.0,44.0,43.0,60.0,29.0,63.0,92.0,29.0,54.0,28,Fear,4059.93,,,,False,11,0,0,europe,,,
BTC,1785758400,,,,,,,,,,,,,,,,,,,6.364e-05,62669.9,62700.0,9.21e-06,62675.2,0.0,,,,183294244405.26926,71925700747.55423,84.0,71.0,82.0,33.0,13.0,38.0,44.0,55.0,39.0,68.0,80.0,22.0,54.0,28,Fear,4046.98,,,,False,12,0,0,europe,,,
BTC,1785762000,,,,,,,,,,,,,,,,,,,6.364e-05,63317.6,63351.09,9.21e-06,63323.6,0.0,,,,183294244405.26926,71925700747.55423,87.0,83.0,87.0,41.0,18.0,40.0,46.0,58.0,31.0,71.0,88.0,31.0,52.0,28,Fear,4033.07,,,,False,13,0,0,us,,,
BTC,1785765600,,,,,,,,,,,,,,,,,,,6.364e-05,63927.9,63967.19,9.21e-06,63935.2,0.0,,,,183294244405.26926,71925700747.55423,91.0,89.0,83.0,47.0,18.0,39.0,46.0,56.0,21.0,73.0,79.0,23.0,57.0,28,Fear,4037.53,,,,False,14,0,0,us,,,
BTC,1785769200,,,,,,,,,,,,,,,,,,,6.364e-05,63659.5,63694.91,9.21e-06,63661.8,0.0,,,,183294244405.26926,71925700747.55423,89.0,84.0,83.0,46.0,0.0,37.0,48.0,56.0,36.0,74.0,84.0,25.0,74.0,28,Fear,4037.27,,,,False,15,0,0,us,,,
BTC,1785772800,,,,,,,,,,,,,,,,,,,2.474e-05,63738.0,63776.46,4.861e-05,63737.1,0.0,,,,183294244405.26926,71925700747.55423,84.0,81.0,91.0,47.0,14.0,38.0,48.0,57.0,38.0,78.0,84.0,21.0,62.0,28,Fear,4038.04,,,,False,16,0,0,us,,,
BTC,1785776400,,,,,,,,,,,,,,,,,,,2.474e-05,63874.1,63906.0,4.861e-05,63877.6,0.0,,,,183294244405.26926,71925700747.55423,83.0,82.0,88.0,49.0,0.0,39.0,49.0,55.0,42.0,81.0,91.0,21.0,46.0,28,Fear,4032.23,,,,False,17,0,0,us,,,
BTC,1785780000,,,,,,,,,,,,,,,,,,,2.474e-05,63835.5,63870.87,4.861e-05,63833.8,0.0,,,,183294244405.26926,71925700747.55423,88.0,81.0,93.0,49.0,37.0,41.0,47.0,61.0,56.0,82.0,91.0,22.0,43.0,28,Fear,4044.55,,,,False,18,0,0,us,,,
BTC,1785783600,,,,,,,,,,,,,,,,,,,2.474e-05,63836.9,63869.38,4.861e-05,63838.2,0.0,,,,183294244405.26926,71925700747.55423,90.0,71.0,84.0,49.0,16.0,44.0,50.0,62.0,49.0,85.0,100.0,19.0,38.0,28,Fear,4051.35,,,,False,19,0,0,us,,,
BTC,1785787200,,,,,,,,,,,,,,,,,,,2.474e-05,63755.9,63775.43,4.861e-05,63754.6,0.0,,,,183294244405.26926,71925700747.55423,100.0,78.0,72.0,50.0,16.0,35.0,50.0,69.0,53.0,88.0,88.0,29.0,40.0,28,Fear,4054.16,,,,False,20,0,0,us,,,
